lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
0.01,0,,,,,
,4,0.1986498087644577,0.7666666507720947,0,,
0.01,5,,,,,
,9,0.18896065652370453,0.800000011920929,1,,
0.01,10,,,,,
,14,0.18709681928157806,0.800000011920929,2,,
0.01,15,,,,,
,19,0.21101976931095123,0.800000011920929,3,,
0.01,20,,,,,
,24,0.21792666614055634,0.800000011920929,4,,
0.01,25,,,,,
,29,0.1568310409784317,0.800000011920929,5,,
0.01,30,,,,,
,34,0.2545510232448578,0.7333333492279053,6,,
0.01,35,,,,,
,39,0.17264077067375183,0.800000011920929,7,,
0.01,40,,,,,
,44,0.18029451370239258,0.800000011920929,8,,
0.01,45,,,,,
,49,,,9,0.14834097027778625,0.8125
,49,0.18507203459739685,0.800000011920929,9,,
0.01,50,,,,,
,54,0.19857460260391235,0.7333333492279053,10,,
0.01,55,,,,,
,59,0.21098332107067108,0.7333333492279053,11,,
0.01,60,,,,,
,60,,,12,0.02713944762945175,1.0
,61,,,12,0.06942906975746155,1.0
,62,,,12,0.07687394320964813,1.0
,63,,,12,0.10323811322450638,0.875
,64,,,12,0.33176660537719727,0.875
,64,0.21456260979175568,0.7333333492279053,12,,
0.006,65,,,,,
,65,,,13,0.05373123288154602,0.875
,66,,,13,0.11057766526937485,0.875
,67,,,13,0.017273053526878357,1.0
,68,,,13,0.07889413833618164,1.0
,69,,,13,0.08613738417625427,0.875
,69,0.21081097424030304,0.800000011920929,13,,
0.006,70,,,,,
,70,,,14,0.28922268748283386,0.625
,71,,,14,0.09610327333211899,0.9375
,72,,,14,0.10377766937017441,1.0
,73,,,14,0.22515445947647095,0.875
,74,,,14,0.1150495857000351,0.875
,74,0.19189539551734924,0.800000011920929,14,,
0.006,75,,,,,
,75,,,15,0.16162201762199402,0.75
,76,,,15,0.10917198657989502,1.0
,77,,,15,0.19810044765472412,0.625
,78,,,15,0.0983043760061264,1.0
,79,,,15,0.00046437233686447144,1.0
,79,0.15996421873569489,0.800000011920929,15,,
0.006,80,,,,,
,80,,,16,0.13441941142082214,0.875
,81,,,16,0.05189850181341171,1.0
,82,,,16,0.186789870262146,0.875
,83,,,16,0.11548148840665817,0.75
,84,,,16,0.06250004470348358,1.0
,84,0.1289053112268448,0.8666666746139526,16,,
0.006,85,,,,,
,85,,,17,0.025189407169818878,1.0
,86,,,17,0.36937421560287476,0.6875
,87,,,17,0.07274898886680603,1.0
,88,,,17,0.11370394378900528,0.875
,89,,,17,0.28591006994247437,0.75
,89,0.17603664100170135,0.800000011920929,17,,
0.006,90,,,,,
,90,,,18,0.02308102697134018,1.0
,91,,,18,0.06478410214185715,1.0
,92,,,18,0.23318466544151306,0.6875
,93,,,18,0.15134650468826294,0.875
,94,,,18,0.047906793653964996,0.875
,94,0.1958766132593155,0.800000011920929,18,,
0.006,95,,,,,
,95,,,19,0.07017235457897186,1.0
,96,,,19,0.0933583676815033,1.0
,97,,,19,0.3761448264122009,0.6875
,98,,,19,0.007984764873981476,1.0
,99,,,19,0.16496562957763672,0.875
,99,0.20418158173561096,0.7666666507720947,19,,
0.006,100,,,,,
,100,,,20,0.0626835972070694,1.0
,101,,,20,0.06250423192977905,1.0
,102,,,20,0.12351400405168533,0.875
,103,,,20,0.025321826338768005,1.0
,104,,,20,0.18066991865634918,0.875
,104,0.16500507295131683,0.7666666507720947,20,,
0.006,105,,,,,
,105,,,21,0.11492650210857391,0.875
,106,,,21,0.4542703330516815,0.5625
,107,,,21,0.16458608210086823,0.8125
,108,,,21,3.888458013534546e-05,1.0
,109,,,21,0.14441341161727905,1.0
,109,0.22436970472335815,0.7333333492279053,21,,
0.006,110,,,,,
,110,,,22,0.1375347375869751,0.875
,111,,,22,0.22284328937530518,0.8125
,112,,,22,0.16328710317611694,0.8125
,113,,,22,0.00013431906700134277,1.0
,114,,,22,0.14856815338134766,1.0
,114,0.2313089519739151,0.699999988079071,22,,
0.006,115,,,,,
,115,,,23,0.03487684577703476,1.0
,116,,,23,0.11640792340040207,0.9375
,117,,,23,0.0643206313252449,1.0
,118,,,23,0.06961176544427872,0.875
,119,,,23,9.685754776000977e-07,1.0
,119,0.2470446527004242,0.699999988079071,23,,
0.006,120,,,,,
,120,,,24,0.11760524660348892,0.875
,121,,,24,0.2060350924730301,0.75
,122,,,24,0.18822228908538818,0.875
,123,,,24,0.2022249847650528,0.75
,124,,,24,7.450580596923828e-09,1.0
,124,0.21294042468070984,0.7333333492279053,24,,
0.006,125,,,,,
,125,,,25,0.32446104288101196,0.6875
,126,,,25,0.12288850545883179,0.875
,127,,,25,0.21795859932899475,0.875
,128,,,25,0.06372279673814774,1.0
,129,,,25,0.04990831017494202,0.875
,129,0.18380364775657654,0.8333333134651184,25,,
0.006,130,,,,,
,130,,,26,0.09396955370903015,0.875
,131,,,26,0.14537689089775085,1.0
,132,,,26,0.357779860496521,0.75
,133,,,26,0.17613177001476288,0.75
,134,,,26,0.22905129194259644,0.625
,134,0.20161597430706024,0.7666666507720947,26,,
0.006,135,,,,,
,135,,,27,0.18829025328159332,1.0
,136,,,27,0.213877335190773,0.5625
,137,,,27,0.10466091334819794,0.8125
,138,,,27,0.12526744604110718,0.875
,139,,,27,0.14975455403327942,1.0
,139,0.17889931797981262,0.7666666507720947,27,,
0.0036,140,,,,,
,140,,,28,0.08945859223604202,0.875
,141,,,28,0.3043666481971741,0.625
,142,,,28,0.08063283562660217,0.875
,143,,,28,0.167214035987854,0.8125
,144,,,28,0.1771053671836853,0.6875
,144,0.200225368142128,0.7666666507720947,28,,
0.0036,145,,,,,
,145,,,29,0.07752074301242828,0.875
,146,,,29,0.11480225622653961,0.75
,147,,,29,0.00367061048746109,1.0
,148,,,29,0.1336263120174408,0.8125
,149,,,29,0.1251455545425415,1.0
,149,0.1980353146791458,0.800000011920929,29,,
0.0036,150,,,,,
,150,,,30,0.22239698469638824,0.875
,151,,,30,0.3506369888782501,0.5625
,152,,,30,0.025335222482681274,1.0
,153,,,30,0.10459049046039581,0.875
,154,,,30,0.195434108376503,0.875
,154,0.18330033123493195,0.800000011920929,30,,
0.0036,155,,,,,
,155,,,31,0.06417089700698853,1.0
,156,,,31,0.1674043834209442,0.75
,157,,,31,0.10572157800197601,0.875
,158,,,31,0.3853124976158142,0.6875
,159,,,31,0.27572280168533325,0.75
,159,0.18573158979415894,0.800000011920929,31,,
0.0036,160,,,,,
,160,,,32,0.06369193643331528,1.0
,161,,,32,0.020720668137073517,0.9375
,162,,,32,0.06651098281145096,0.875
,163,,,32,0.168989896774292,0.875
,164,,,32,0.14403003454208374,0.875
,164,0.19666938483715057,0.800000011920929,32,,
0.0036,165,,,,,
,165,,,33,0.021661780774593353,1.0
,166,,,33,0.40877777338027954,0.75
,167,,,33,0.16764581203460693,0.8125
,168,,,33,0.017151981592178345,1.0
,169,,,33,0.14319103956222534,0.875
,169,0.2015720009803772,0.800000011920929,33,,
0.0036,170,,,,,
,170,,,34,0.09569904208183289,1.0
,171,,,34,0.1049637496471405,0.875
,172,,,34,0.05349854379892349,1.0
,173,,,34,0.35544657707214355,0.5625
,174,,,34,0.13141268491744995,0.9375
,174,0.1972498595714569,0.800000011920929,34,,
0.0036,175,,,,,
,175,,,35,0.18698632717132568,0.875
,176,,,35,0.05439283698797226,0.9375
,177,,,35,0.18752175569534302,0.875
,178,,,35,0.11511275172233582,1.0
,179,,,35,0.06747642159461975,1.0
,179,0.19987426698207855,0.800000011920929,35,,
0.0036,180,,,,,
,180,,,36,0.12209869176149368,0.8125
,181,,,36,0.06250816583633423,1.0
,182,,,36,0.2937149405479431,0.75
,183,,,36,0.11918684095144272,0.75
,184,,,36,0.03356214612722397,1.0
,184,0.1884007751941681,0.7666666507720947,36,,
0.0036,185,,,,,
,185,,,37,0.09456050395965576,0.9375
,186,,,37,0.2693316340446472,0.875
,187,,,37,0.21615104377269745,0.8125
,188,,,37,0.21578152477741241,0.875
,189,,,37,0.2927433252334595,0.75
,189,0.16025963425636292,0.800000011920929,37,,
0.0036,190,,,,,
,190,,,38,0.22338587045669556,0.75
,191,,,38,0.11436863988637924,0.875
,192,,,38,0.160567969083786,0.875
,193,,,38,0.10458119958639145,0.875
,194,,,38,0.2689133882522583,0.9375
,194,0.18741226196289062,0.800000011920929,38,,
0.00216,195,,,,,
