lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
0.01,0,,,,,
,5,0.49180683493614197,0.5,0,,
0.01,6,,,,,
,11,0.42280688881874084,0.5416666865348816,1,,
0.01,12,,,,,
,17,0.2551512122154236,0.75,2,,
0.01,18,,,,,
,23,0.3863169848918915,0.5833333134651184,3,,
0.01,24,,,,,
,29,0.3583606481552124,0.625,4,,
0.01,30,,,,,
,35,0.3746234178543091,0.5833333134651184,5,,
0.01,36,,,,,
,41,0.3847975730895996,0.5833333134651184,6,,
0.01,42,,,,,
,47,0.41512331366539,0.5833333134651184,7,,
0.01,48,,,,,
,49,,,8,0.09292707592248917,0.875
,53,0.5039984583854675,0.375,8,,
0.01,54,,,,,
,59,0.4552726745605469,0.5,9,,
0.01,60,,,,,
,65,0.3989872634410858,0.5416666865348816,10,,
0.01,66,,,,,
,71,0.3375215530395508,0.6666666865348816,11,,
0.01,72,,,,,
,77,0.3673413097858429,0.5833333134651184,12,,
0.01,78,,,,,
,78,,,13,0.1563102900981903,0.875
,79,,,13,0.1250002682209015,1.0
,80,,,13,3.109872341156006e-05,1.0
,81,,,13,0.23525772988796234,0.875
,82,,,13,0.14510148763656616,1.0
,83,,,13,0.20626811683177948,0.875
,83,0.23792783915996552,0.75,13,,
0.006,84,,,,,
,84,,,14,0.0625,1.0
,85,,,14,0.06615189462900162,0.875
,86,,,14,0.2509138584136963,0.75
,87,,,14,0.1502232849597931,0.875
,88,,,14,0.11476565897464752,0.875
,89,,,14,0.08938296139240265,1.0
,89,0.27499568462371826,0.6666666865348816,14,,
0.006,90,,,,,
,90,,,15,0.07719551026821136,1.0
,91,,,15,0.03867649286985397,0.875
,92,,,15,0.10176105797290802,0.875
,93,,,15,0.06284265220165253,1.0
,94,,,15,0.15014660358428955,1.0
,95,,,15,0.12505044043064117,0.875
,95,0.2975636422634125,0.6666666865348816,15,,
0.006,96,,,,,
,96,,,16,0.0015441253781318665,1.0
,97,,,16,0.11110428720712662,1.0
,98,,,16,0.10632926225662231,0.875
,99,,,16,0.20384754240512848,1.0
,100,,,16,0.10449247062206268,0.875
,101,,,16,0.1100655272603035,0.875
,101,0.2007252424955368,0.7916666865348816,16,,
0.006,102,,,,,
,102,,,17,0.13497614860534668,0.875
,103,,,17,0.06653808057308197,1.0
,104,,,17,0.1182166337966919,0.875
,105,,,17,0.07190880924463272,1.0
,106,,,17,0.11160752177238464,1.0
,107,,,17,0.2497289478778839,0.875
,107,0.3048955500125885,0.6666666865348816,17,,
0.006,108,,,,,
,108,,,18,0.09115254133939743,1.0
,109,,,18,0.269886314868927,0.75
,110,,,18,0.08764765411615372,0.875
,111,,,18,0.10124935209751129,1.0
,112,,,18,0.06250017136335373,1.0
,113,,,18,0.0625,1.0
,113,0.329927533864975,0.6666666865348816,18,,
0.006,114,,,,,
,114,,,19,0.06596075743436813,1.0
,115,,,19,0.07019858062267303,1.0
,116,,,19,0.21783779561519623,0.9375
,117,,,19,0.04382108896970749,0.875
,118,,,19,0.16437023878097534,0.875
,119,,,19,0.0390898659825325,0.875
,119,0.33066004514694214,0.6666666865348816,19,,
0.006,120,,,,,
,120,,,20,0.13622517883777618,0.8125
,121,,,20,0.04218849539756775,1.0
,122,,,20,0.12627683579921722,0.75
,123,,,20,0.11147840321063995,0.875
,124,,,20,1.5690922737121582e-05,1.0
,125,,,20,0.2085120677947998,0.75
,125,0.2696041166782379,0.6666666865348816,20,,
0.006,126,,,,,
,126,,,21,0.21850451827049255,0.875
,127,,,21,0.09568347036838531,0.75
,128,,,21,0.055425576865673065,1.0
,129,,,21,0.17378172278404236,0.875
,130,,,21,0.08747584372758865,0.75
,131,,,21,0.24621975421905518,0.75
,131,0.29431232810020447,0.5833333134651184,21,,
0.006,132,,,,,
,132,,,22,0.0018049702048301697,1.0
,133,,,22,0.04451628029346466,0.875
,134,,,22,0.14574676752090454,0.875
,135,,,22,0.04698639363050461,0.875
,136,,,22,0.18781238794326782,1.0
,137,,,22,0.044711776077747345,0.875
,137,0.265202134847641,0.75,22,,
0.006,138,,,,,
,138,,,23,0.0674065351486206,1.0
,139,,,23,0.22142481803894043,0.75
,140,,,23,0.0005255863070487976,1.0
,141,,,23,0.18066197633743286,0.75
,142,,,23,0.06851156055927277,0.875
,143,,,23,0.08064580708742142,0.875
,143,0.25688108801841736,0.75,23,,
0.006,144,,,,,
,144,,,24,0.0023099854588508606,1.0
,145,,,24,0.10377397388219833,0.875
,146,,,24,0.15081092715263367,0.875
,147,,,24,0.22091160714626312,0.875
,148,,,24,0.1126348078250885,1.0
,149,,,24,0.08296845853328705,0.875
,149,0.28312069177627563,0.7083333134651184,24,,
0.006,150,,,,,
,150,,,25,0.238191157579422,0.875
,151,,,25,0.14079827070236206,1.0
,152,,,25,0.25923842191696167,0.75
,153,,,25,0.08502868562936783,1.0
,154,,,25,0.125,1.0
,155,,,25,0.12051382660865784,0.875
,155,0.24979646503925323,0.6666666865348816,25,,
0.006,156,,,,,
,156,,,26,0.07201225310564041,1.0
,157,,,26,0.16664308309555054,1.0
,158,,,26,0.18641911447048187,0.875
,159,,,26,0.06478293985128403,0.875
,160,,,26,0.07564301043748856,1.0
,161,,,26,0.22858895361423492,0.625
,161,0.23830930888652802,0.6666666865348816,26,,
