lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
0.01,0,,,,,
,4,0.17098495364189148,0.7333333492279053,0,,
0.01,5,,,,,
,9,0.430593878030777,0.5333333611488342,1,,
0.01,10,,,,,
,14,0.45745646953582764,0.46666666865348816,2,,
0.01,15,,,,,
,19,0.5350370407104492,0.36666667461395264,3,,
0.01,20,,,,,
,24,0.4932715594768524,0.4333333373069763,4,,
0.01,25,,,,,
,29,0.5348679423332214,0.4333333373069763,5,,
0.01,30,,,,,
,34,0.4586368501186371,0.46666666865348816,6,,
0.01,35,,,,,
,39,0.3477126359939575,0.46666666865348816,7,,
0.01,40,,,,,
,44,0.3434184789657593,0.46666666865348816,8,,
0.01,45,,,,,
,49,,,9,0.1538187861442566,0.875
,49,0.3134479224681854,0.5,9,,
0.01,50,,,,,
,54,0.41058510541915894,0.5333333611488342,10,,
0.01,55,,,,,
,55,,,11,0.0023649632930755615,1.0
,56,,,11,0.16339533030986786,0.875
,57,,,11,0.05673921853303909,0.875
,58,,,11,0.10766337811946869,0.75
,59,,,11,0.06253044307231903,1.0
,59,0.3681148588657379,0.5,11,,
0.006,60,,,,,
,60,,,12,0.22571520507335663,0.875
,61,,,12,0.2255266159772873,0.875
,62,,,12,0.18960696458816528,0.875
,63,,,12,0.007655404508113861,1.0
,64,,,12,0.09396715462207794,1.0
,64,0.448403537273407,0.46666666865348816,12,,
0.006,65,,,,,
,65,,,13,0.0066326335072517395,1.0
,66,,,13,0.13373900949954987,1.0
,67,,,13,0.1753232479095459,0.875
,68,,,13,0.10771156847476959,0.875
,69,,,13,0.050050027668476105,0.875
,69,0.4841920733451843,0.4000000059604645,13,,
0.006,70,,,,,
,70,,,14,0.09509322792291641,1.0
,71,,,14,0.05423252284526825,0.9375
,72,,,14,0.19136366248130798,0.875
,73,,,14,0.0975583866238594,0.75
,74,,,14,0.2696223855018616,0.75
,74,0.4701452851295471,0.3333333432674408,14,,
0.006,75,,,,,
,75,,,15,0.09540076553821564,1.0
,76,,,15,0.0031362101435661316,1.0
,77,,,15,0.2588903307914734,0.75
,78,,,15,0.44375959038734436,0.5
,79,,,15,0.06214776635169983,1.0
,79,0.45300453901290894,0.4333333373069763,15,,
0.006,80,,,,,
,80,,,16,0.012832596898078918,1.0
,81,,,16,0.09248116612434387,1.0
,82,,,16,0.06260938942432404,1.0
,83,,,16,0.11853653937578201,0.875
,84,,,16,0.08783283829689026,0.9375
,84,0.4313998520374298,0.5,16,,
0.006,85,,,,,
,85,,,17,0.006730668246746063,1.0
,86,,,17,0.12537354230880737,0.875
,87,,,17,0.29709458351135254,0.8125
,88,,,17,0.12498385459184647,0.875
,89,,,17,0.13521093130111694,0.875
,89,0.44662705063819885,0.5,17,,
0.006,90,,,,,
,90,,,18,0.005941383540630341,1.0
,91,,,18,0.18111839890480042,0.875
,92,,,18,0.12011609971523285,0.875
,93,,,18,0.11390317231416702,0.9375
,94,,,18,0.14002011716365814,1.0
,94,0.443564236164093,0.5333333611488342,18,,
0.006,95,,,,,
,95,,,19,0.2118227332830429,0.75
,96,,,19,0.1464240849018097,1.0
,97,,,19,0.005799442529678345,1.0
,98,,,19,0.12074962258338928,0.875
,99,,,19,0.1861298531293869,0.875
,99,0.46556001901626587,0.5333333611488342,19,,
0.006,100,,,,,
,100,,,20,0.22703158855438232,0.75
,101,,,20,0.0625355988740921,1.0
,102,,,20,0.3017882704734802,0.75
,103,,,20,0.10966439545154572,0.9375
,104,,,20,0.07351456582546234,1.0
,104,0.4439239203929901,0.5666666626930237,20,,
0.006,105,,,,,
,105,,,21,5.5536627769470215e-05,1.0
,106,,,21,0.20205582678318024,0.75
,107,,,21,0.1356993466615677,0.9375
,108,,,21,0.18408071994781494,0.875
,109,,,21,0.06250044703483582,1.0
,109,0.48042911291122437,0.5333333611488342,21,,
0.006,110,,,,,
,110,,,22,0.11828000098466873,0.9375
,111,,,22,0.0,1.0
,112,,,22,0.04869403690099716,0.875
,113,,,22,0.04046957194805145,1.0
,114,,,22,7.314980030059814e-05,1.0
,114,0.4703802168369293,0.5333333611488342,22,,
0.0036,115,,,,,
,115,,,23,0.125,1.0
,116,,,23,0.0,1.0
,117,,,23,0.008529946208000183,1.0
,118,,,23,0.25116124749183655,0.75
,119,,,23,0.10348425060510635,0.875
,119,0.46852028369903564,0.5333333611488342,23,,
0.0036,120,,,,,
,120,,,24,0.2508847713470459,0.875
,121,,,24,0.16099639236927032,0.875
,122,,,24,0.286144495010376,0.75
,123,,,24,0.02858591079711914,1.0
,124,,,24,0.040169209241867065,0.875
,124,0.46610555052757263,0.5333333611488342,24,,
0.0036,125,,,,,
,125,,,25,0.12500032782554626,0.875
,126,,,25,0.020516127347946167,1.0
,127,,,25,2.9802322387695312e-08,1.0
,128,,,25,2.60770320892334e-07,1.0
,129,,,25,0.0001508668065071106,1.0
,129,0.44264593720436096,0.5666666626930237,25,,
0.0036,130,,,,,
,130,,,26,0.2498466521501541,0.75
,131,,,26,0.1741359978914261,0.875
,132,,,26,0.02473023533821106,0.9375
,133,,,26,0.027329131960868835,0.9375
,134,,,26,3.390014171600342e-06,1.0
,134,0.44219526648521423,0.5666666626930237,26,,
0.0036,135,,,,,
,135,,,27,0.0018171817064285278,1.0
,136,,,27,0.1542445719242096,0.875
,137,,,27,0.06254533678293228,1.0
,138,,,27,0.2062406837940216,0.6875
,139,,,27,1.574307680130005e-05,1.0
,139,0.4498397707939148,0.5666666626930237,27,,
0.0036,140,,,,,
,140,,,28,0.06543461978435516,0.9375
,141,,,28,0.12840525805950165,0.875
