lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
0.01,0,,,,,
,4,0.0,1.0,0,,
0.01,5,,,,,
,9,0.0,1.0,1,,
0.01,10,,,,,
,14,0.0,1.0,2,,
0.01,15,,,,,
,19,0.0,1.0,3,,
0.01,20,,,,,
,24,0.0,1.0,4,,
0.01,25,,,,,
,29,0.0,1.0,5,,
0.01,30,,,,,
,34,0.0,1.0,6,,
0.01,35,,,,,
,39,1.9868215517249155e-08,1.0,7,,
0.01,40,,,,,
,44,2.1964311599731445e-05,1.0,8,,
0.01,45,,,,,
,49,,,9,0.07024870812892914,1.0
,49,0.0,1.0,9,,
0.01,50,,,,,
,54,0.0,1.0,10,,
0.01,55,,,,,
,55,,,11,0.2001013457775116,0.875
,56,,,11,0.24905109405517578,0.75
,57,,,11,0.2326759696006775,0.875
,58,,,11,0.09902289509773254,0.875
,59,,,11,0.2581719160079956,0.8125
,59,0.0,1.0,11,,
0.006,60,,,,,
,60,,,12,0.19461001455783844,0.875
,61,,,12,0.24999947845935822,0.75
,62,,,12,0.11084024608135223,0.875
,63,,,12,0.3310997784137726,0.625
,64,,,12,0.0625,1.0
,64,0.0,1.0,12,,
0.006,65,,,,,
,65,,,13,0.0348285436630249,1.0
,66,,,13,0.2221125066280365,1.0
,67,,,13,0.35312727093696594,0.75
,68,,,13,0.23960945010185242,0.75
,69,,,13,0.20882543921470642,0.75
,69,0.0,1.0,13,,
0.006,70,,,,,
,70,,,14,0.04367120563983917,0.9375
,71,,,14,0.04928107559680939,0.875
,72,,,14,0.0867302417755127,1.0
,73,,,14,0.13758422434329987,0.875
,74,,,14,0.21632379293441772,0.8125
,74,0.0003887613711412996,1.0,14,,
0.006,75,,,,,
,75,,,15,0.1699787676334381,0.875
,76,,,15,0.3631124794483185,0.6875
,77,,,15,0.20988640189170837,0.75
,78,,,15,0.02672150731086731,0.9375
,79,,,15,0.08062063157558441,0.9375
,79,0.005665173288434744,0.9583333134651184,15,,
0.006,80,,,,,
,80,,,16,0.158282071352005,0.8125
,81,,,16,0.14330582320690155,0.9375
,82,,,16,0.26682132482528687,0.6875
,83,,,16,0.43739014863967896,0.625
,84,,,16,0.08237349987030029,0.9375
,84,4.967053879312289e-09,1.0,16,,
0.006,85,,,,,
,85,,,17,0.18751507997512817,1.0
,86,,,17,0.1875,1.0
,87,,,17,0.03833181411027908,0.9375
,88,,,17,6.666779518127441e-05,1.0
,89,,,17,0.3159787654876709,0.6875
,89,0.0,1.0,17,,
0.006,90,,,,,
,90,,,18,0.0625728964805603,1.0
,91,,,18,0.5548850297927856,0.5625
,92,,,18,0.02439109981060028,1.0
,93,,,18,0.5012960433959961,0.5
,94,,,18,0.013250812888145447,0.9375
,94,0.0,1.0,18,,
0.006,95,,,,,
,95,,,19,0.15598320960998535,0.9375
,96,,,19,0.3307987451553345,0.6875
,97,,,19,0.28836530447006226,0.6875
,98,,,19,0.16699357330799103,0.8125
,99,,,19,0.35527268052101135,0.6875
,99,0.0,1.0,19,,
0.006,100,,,,,
,100,,,20,0.3090824782848358,0.5625
,101,,,20,0.0,1.0
,102,,,20,0.2921769320964813,0.75
,103,,,20,0.36590030789375305,0.6875
,104,,,20,0.24303002655506134,0.75
,104,0.0,1.0,20,,
0.006,105,,,,,
,105,,,21,0.24347634613513947,0.75
,106,,,21,0.0011996850371360779,1.0
,107,,,21,0.2011570930480957,0.625
,108,,,21,0.34007126092910767,0.625
,109,,,21,0.015304714441299438,0.9375
,109,0.0,1.0,21,,
0.006,110,,,,,
,110,,,22,0.2850911617279053,0.8125
,111,,,22,0.32757049798965454,0.6875
,112,,,22,0.14256322383880615,0.8125
,113,,,22,0.15557703375816345,0.875
,114,,,22,0.2957998216152191,0.8125
,114,0.0,1.0,22,,
0.0036,115,,,,,
,115,,,23,8.098781108856201e-06,1.0
,116,,,23,0.3520144820213318,0.625
,117,,,23,0.17072486877441406,0.875
,118,,,23,0.1891041249036789,0.6875
,119,,,23,0.38689306378364563,0.5
,119,0.0,1.0,23,,
0.0036,120,,,,,
,120,,,24,0.1250404417514801,1.0
,121,,,24,0.17579667270183563,0.875
,122,,,24,0.24642615020275116,0.875
,123,,,24,0.1250120997428894,1.0
,124,,,24,0.12645691633224487,0.875
,124,0.0,1.0,24,,
0.0036,125,,,,,
,125,,,25,0.29853540658950806,0.75
,126,,,25,0.09368126839399338,0.9375
,127,,,25,0.31188446283340454,0.75
,128,,,25,0.21438926458358765,0.75
,129,,,25,0.12245955318212509,0.875
,129,0.0,1.0,25,,
0.0036,130,,,,,
,130,,,26,0.1561102271080017,0.8125
,131,,,26,0.48986220359802246,0.625
,132,,,26,0.08288835734128952,1.0
,133,,,26,0.16224244236946106,0.875
,134,,,26,0.18862004578113556,0.75
,134,0.0,1.0,26,,
0.0036,135,,,,,
,135,,,27,0.08916068822145462,0.9375
,136,,,27,0.07850398123264313,0.9375
,137,,,27,0.18125520646572113,0.9375
,138,,,27,0.1279122531414032,1.0
,139,,,27,0.12688717246055603,0.875
,139,0.0,1.0,27,,
0.0036,140,,,,,
,140,,,28,0.14409175515174866,1.0
,141,,,28,0.058595895767211914,1.0
,142,,,28,0.36374717950820923,0.75
,143,,,28,0.11897818744182587,0.875
,144,,,28,0.0626114010810852,1.0
,144,0.0,1.0,28,,
0.0036,145,,,,,
,145,,,29,0.2529298961162567,0.875
,146,,,29,0.09501232206821442,0.875
,147,,,29,0.08029833436012268,1.0
,148,,,29,0.17164301872253418,0.875
,149,,,29,0.17205940186977386,0.75
,149,0.0,1.0,29,,
0.0036,150,,,,,
,150,,,30,0.24586914479732513,0.75
,151,,,30,0.13354864716529846,0.8125
,152,,,30,0.067081019282341,0.9375
,153,,,30,0.23303109407424927,0.75
,154,,,30,0.0003094524145126343,1.0
,154,0.0,1.0,30,,
0.0036,155,,,,,
,155,,,31,0.12295166403055191,0.875
,156,,,31,0.012302599847316742,0.9375
,157,,,31,2.2351741790771484e-07,1.0
,158,,,31,0.19858837127685547,0.8125
,159,,,31,0.11758708953857422,0.875
,159,0.0,1.0,31,,
0.0036,160,,,,,
,160,,,32,0.10928806662559509,0.875
,161,,,32,0.07712380588054657,1.0
,162,,,32,0.016276508569717407,1.0
,163,,,32,0.1877903938293457,0.875
,164,,,32,0.12484697252511978,0.875
,164,0.0,1.0,32,,
0.0036,165,,,,,
,165,,,33,0.44890281558036804,0.5625
,166,,,33,0.24504755437374115,0.6875
,167,,,33,0.00013114511966705322,1.0
,168,,,33,0.5042452812194824,0.625
,169,,,33,0.2672494649887085,0.9375
,169,0.0,1.0,33,,
0.00216,170,,,,,
,170,,,34,0.22541719675064087,0.8125
,171,,,34,0.0625,1.0
,172,,,34,0.0632631853222847,1.0
,173,,,34,0.13503384590148926,0.9375
,174,,,34,4.284083843231201e-05,1.0
,174,0.0,1.0,34,,
0.00216,175,,,,,
,175,,,35,0.27663454413414,0.75
,176,,,35,0.2423575222492218,0.75
,177,,,35,0.2433607131242752,0.75
,178,,,35,0.1505236178636551,0.875
,179,,,35,0.12500159442424774,0.875
,179,0.0,1.0,35,,
0.00216,180,,,,,
,180,,,36,0.0007303133606910706,1.0
,181,,,36,0.23168253898620605,0.75
,182,,,36,0.2498992681503296,0.875
,183,,,36,0.18789735436439514,0.875
,184,,,36,0.08419018238782883,0.875
,184,0.0,1.0,36,,
0.00216,185,,,,,
,185,,,37,7.322430610656738e-05,1.0
,186,,,37,0.2683071494102478,0.75
,187,,,37,0.2222195863723755,0.875
,188,,,37,0.11879393458366394,0.875
,189,,,37,0.16954438388347626,0.75
,189,0.0,1.0,37,,
0.00216,190,,,,,
,190,,,38,0.11482932418584824,0.8125
,191,,,38,0.13355739414691925,0.875
,192,,,38,0.2742820382118225,0.75
,193,,,38,0.25013524293899536,0.75
,194,,,38,0.2628536522388458,0.625
,194,0.0,1.0,38,,
0.00216,195,,,,,
,195,,,39,0.13331827521324158,0.875
,196,,,39,0.2982409596443176,0.75
,197,,,39,0.1409367024898529,0.875
,198,,,39,0.32298657298088074,0.75
,199,,,39,0.12695392966270447,1.0
,199,0.0,1.0,39,,
